更新时间: 2026-04-10 15:23:26（北京时间）

更新时间,#genre#
2026-04-10 15:23:26,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV15,http://106.116.240.74:9999/rtp/239.254.201.124:8136$河北省电信
CCTV16,http://116.237.61.115:4022/rtp/233.18.204.82:5140$上海市电信
CCTV16,http://116.237.61.115:4022/rtp/233.18.204.114:5140$上海市电信
CCTV16,http://116.237.61.115:4022/rtp/233.18.204.215:5140$上海市电信
CCTV16,http://121.238.250.95:8800/rtp/239.49.8.31:8000$江苏电信
CCTV16,http://111.193.235.246:8888/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://111.193.235.246:8888/rtp/239.3.1.183:8001$北京市联通
CCTV16,http://106.116.240.74:9999/rtp/239.254.200.61:6344$河北省电信
CCTV17,http://113.120.108.132:4000/rtp/239.21.1.186:5002$山东电信
CCTV17,http://116.237.61.115:4022/rtp/233.18.204.83:5140$上海市电信
CCTV17,http://171.8.84.159:8800/rtp/239.16.20.7:10070$河南电信
CCTV17,http://182.135.34.97:888/rtp/239.94.0.39:5140$四川电信
CCTV17,http://182.135.34.97:888/rtp/239.94.0.17:5140$四川电信
CCTV17,http://121.238.250.95:8800/rtp/239.49.8.52:9810$江苏电信
CCTV17,http://111.193.235.246:8888/rtp/239.3.1.151:8144$北京市联通
CCTV17,http://106.116.240.74:9999/rtp/239.254.201.120:8144$河北省电信
CCTV4K,http://116.237.61.115:4022/rtp/233.18.204.188:5140$上海市电信
CCTV4K,http://116.237.61.115:4022/rtp/233.18.204.204:5140$上海市电信
CCTV4K,http://182.135.34.97:888/rtp/239.94.0.20:5140$四川电信
CCTV4K,http://121.238.250.95:8800/rtp/239.49.0.82:8000$江苏电信
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.244:2000$北京市联通
CCTV4K,http://111.193.235.246:8888/rtp/239.3.1.245:2000$北京市联通
CCTV4K,http://106.116.240.74:9999/rtp/239.254.200.122:7266$河北省电信
兵器科技,http://116.237.61.115:4022/rtp/233.18.204.178:5140$上海市电信
兵器科技,http://106.116.240.74:9999/rtp/239.254.201.225:7249$河北省电信
风云音乐,http://116.237.61.115:4022/rtp/233.18.204.185:5140$上海市电信
风云音乐,http://106.116.240.74:9999/rtp/239.254.201.221:7259$河北省电信
风云足球,http://116.237.61.115:4022/rtp/233.18.204.176:5140$上海市电信
风云足球,http://106.116.240.74:9999/rtp/239.254.201.222:7251$河北省电信
风云剧场,http://116.237.61.115:4022/rtp/233.18.204.183:5140$上海市电信
风云剧场,http://106.116.240.74:9999/rtp/239.254.201.219:7257$河北省电信
怀旧剧场,http://116.237.61.115:4022/rtp/233.18.204.182:5140$上海市电信
怀旧剧场,http://106.116.240.74:9999/rtp/239.254.201.220:7256$河北省电信
第一剧场,http://116.237.61.115:4022/rtp/233.18.204.184:5140$上海市电信
第一剧场,http://106.116.240.74:9999/rtp/239.254.201.218:7258$河北省电信
女性时尚,http://116.237.61.115:4022/rtp/233.18.204.180:5140$上海市电信
